task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_stimulus,trial_extra_responses,resp_value,resp_corr,resp_rt,task_time
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5027460300188977,92.7590591449989
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.7734105350100435,95.28025628300384
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5202753179764841,97.27747849500156
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5298083529924043,99.53741118000471
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.37633094599004835,101.63445980500546
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.49439068700303324,104.00313909997931
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.36649198600207455,106.12572442900273
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.4372392210061662,108.44701968398294
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget4,none,none,1,0,110.26012754699332
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,target,none,none,0,0,112.51051177197951
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget2,none,none,1,0,114.7611423599883
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.560269673995208,117.5722060269909
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.48234925098950043,119.74479787799646
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,target,none,none,0,0,121.51343664698652
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.44134171699988656,124.2052401949768
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget5,none,none,1,0,126.01426759298192
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget3,none,none,1,0,128.2646879819804
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5528681289870292,131.0679533049988
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6701852499973029,133.4358059039805
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.3126354879932478,135.32865550398128
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.36727396602509543,137.63366780799697
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.2976126619905699,139.81454829798895
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.37485948798712343,142.14228117399034
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,nontarget4,none,left,0,0.3104540799977258,144.32826116398792
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6765717370144557,146.94494284898974
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget3,none,none,1,0,148.51882829898386
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.31930465399636887,151.0890587049944
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,target,none,none,0,0,153.0200923999946
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,target,none,none,0,0,155.27057400997728
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,target,none,none,0,0,157.5209401199827
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.4887758520198986,160.2602047949913
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.35924347801483236,162.38126810398535
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget1,none,none,1,0,164.2723880049889
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5067555900022853,167.02959232998546
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6180857449944597,169.39148048800416
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6955000229936559,171.71942569399835
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,none,testingBlock,nontarget2,none,none,1,0,173.27439383900492
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.5243544840195682,176.04932742298115
CPT,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,23:30,sa,Machine_ID,keyboard,testingBlock,target,none,left,1,0.6087726100231521,178.3843101300008
