task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_value,resp_corr,resp_rt,task_time
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,right,0,right,1,0.08262119097635146,127.92388627599576
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,right,0,0.3224760860204696,130.04668038801174
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,right,0,right,1,0.2927067209850065,132.13970555600827
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,right,0,right,1,0.2583475849998649,134.19837226599338
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,right,0,0.2969280639837961,136.2956292849849
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,right,0,0.25707572499522935,138.35303371300688
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,right,0,0.24965422899113032,140.40307451901026
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,right,0,right,1,0.08374854897847395,142.28714195798966
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,right,0,0.0984517200151458,144.1859108459903
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,right,0,0.094642382976599,146.08086717801052
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,01/02/2020,17:48,sa,Machine_ID,keyboard,testingBlock,shape,shape,left,0,left,1,0.46364100998034696,148.34482317999937
