task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_value,resp_corr,resp_rt,task_time
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/28/2019,14:14,SA,Machine_ID,none,firstPracticeBlock,color,color,right,0,none,0,0,32.04120865499863
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/28/2019,14:14,SA,Machine_ID,keyboard,firstPracticeBlock,color,color,left,0,right,0,0.4396537410022574,43.104887670997414
SetShifting,3.2.0.1,12/30/2011,a,Adult,English,Site_ID,12,12,11/28/2019,14:14,SA,Machine_ID,none,firstPracticeBlock,color,color,left,0,none,0,0,45.12277317499684
